rp,eff
1.15117,81.9932
1.15573,82.14166
1.16144,82.38698
1.16734,82.59609
1.17324,82.78439
1.17932,83.0116
1.18541,83.20895
1.1934,83.47962
1.19854,83.64619
1.20786,83.8698
1.2168,84.05448
1.22327,84.212
1.23107,84.38401
1.25047,84.8095
1.26911,85.18701
1.2908,85.59984
1.314,86.00453
1.32706,86.21234
1.33566,86.3424
1.34332,86.45594
1.35305,86.59125
1.36289,86.72701
1.37297,86.85467
1.38457,86.98596
1.39345,87.11446
1.40148,87.2023
1.41466,87.36314
1.4276,87.51714
1.43874,87.65175
1.45012,87.76811
1.46163,87.89018
1.47756,88.02471
1.49191,88.13324
1.51039,88.26383
1.52741,88.38129
1.54186,88.48271
1.55346,88.56421
1.56525,88.63123
1.57552,88.69825
1.58465,88.76164
1.59797,88.82867
1.61071,88.90384
1.62916,88.9926
1.64247,89.0714
1.66149,89.15564
1.67708,89.21271
1.69477,89.27885
1.71303,89.34589
1.72919,89.40659
1.74802,89.46277
1.7657,89.51895
1.78453,89.57241
1.79994,89.61591
1.82219,89.6712
1.84249,89.72125
1.86597,89.76124
1.88969,89.80009
1.91342,89.8321
1.94313,89.86641
1.96996,89.89158
1.99847,89.9065
2.02555,89.92712
2.05382,89.93633
2.08617,89.95012
2.11947,89.95935
2.1499,89.96972
2.1995,89.98014
2.22777,89.98593
2.26203,89.98718
2.29893,89.98958
2.33056,89.99311
2.37632,89.99782
2.44485,89.99918
2.49756,90.00391
2.56536,90.00869
2.62718,90.00661
2.67965,90.01134
2.73644,90.01381
2.77429,90.00937
2.80436,90.01517
